Fold,Accuracy,Precision,Recall,F1,ROC AUC
1,0.9997879513984606,0.9998520327007732,0.9997780654706862,0.9998150477176889,0.9997896489150291
2,0.9999151805593842,0.9998893478902331,0.999963113242346,0.9999262292058574,0.9999067399220858
3,0.9998515659789223,0.9998886042107609,0.9998514777959305,0.9998700406587083,0.9998515805947072
4,0.9998939756992302,0.9998137455764574,1.0,0.9999068641147434,0.9998769624489394
5,0.9999151805593842,0.9998515053643687,1.0,0.9999257471691109,0.9999011173736774
StratifiedAvg,0.9998854937551686,,,,
ShuffleSplitAvg,0.9998558069509531,,,,
